matched	wrong
706	34
724	41
715	27
569	5
287	1
37	0
755	40
767	29
539	4
339	2
89	2
726	39
796	33
100	2
361	5
115	6
817	49
819	52
758	24
543	9
217	12
797	49
823	55
667	19
546	12
221	15
741	46
824	58
123	2
536	15
215	18
134	14
824	64
808	42
667	23
386	24
131	14
824	69
714	33
667	28
386	29
130	12
824	69
131	5
652	27
378	29
220	24
824	71
819	61
767	46
535	17
220	25
725	47
821	68
767	50
547	28
222	35
706	36
708	36
715	29
573	7
288	3
38	1
757	42
769	31
557	6
342	5
88	1
809	49
700	26
640	12
533	7
207	9
817	51
821	54
739	24
545	11
205	9
822	54
825	57
765	29
550	17
215	14
804	52
823	56
815	45
668	19
388	19
132	12
826	64
732	36
671	28
361	14
136	22
136	11
797	54
766	39
549	24
222	22
823	64
800	58
766	39
551	29
222	24
826	71
823	65
769	46
493	15
217	31
135	23
826	75
810	52
671	39
377	20
136	33
640	39
720	30
204	6
291	3
12	1
764	40
757	31
726	21
509	5
180	5
814	51
792	48
756	25
481	6
209	9
350	33
825	54
129	6
540	12
215	14
132	10
830	58
815	41
675	21
379	13
136	14
750	51
819	45
282	11
390	18
55	2
807	54
829	61
771	35
555	22
225	19
831	69
807	61
773	43
509	16
226	27
750	54
831	69
131	7
543	24
389	24
136	22
831	71
817	52
676	34
380	20
137	27
750	54
819	60
606	20
390	33
55	3
729	55
671	20
451	3
127	3
769	56
782	57
724	22
504	5
180	5
740	55
812	61
665	19
523	9
371	8
120	7
823	64
812	47
654	16
383	12
828	68
669	21
356	12
133	14
827	68
829	70
768	33
549	16
220	15
827	71
829	74
768	36
550	22
214	15
829	79
733	58
753	43
669	29
388	27
136	21
829	79
800	53
669	29
388	27
359	42
591	19
380	29
225	25
829	85
827	79
768	45
542	21
225	28
729	65
728	65
666	20
415	3
129	3
699	57
763	61
769	44
623	11
345	6
94	4
804	70
798	47
578	11
374	9
123	8
758	70
811	53
591	14
379	15
224	13
828	79
826	77
765	34
544	14
227	15
746	71
827	79
766	36
552	17
229	19
827	82
814	58
391	22
829	88
749	52
669	31
215	10
140	24
145	14
796	61
764	41
552	24
229	26
827	87
829	90
756	38
553	28
217	17
829	94
762	76
766	49
108	6
222	32
139	26
728	78
714	45
565	10
290	3
40	1
768	48
344	6
791	78
745	27
535	9
211	10
823	88
824	89
757	31
547	14
213	11
828	91
749	79
746	33
663	22
389	16
138	13
829	93
808	58
665	25
362	14
140	16
364	45
813	62
119	8
381	20
227	20
827	99
827	99
761	42
552	25
227	24
829	100
827	99
763	43
514	17
228	25
749	83
807	95
813	67
665	34
389	25
140	25
822	97
815	73
595	23
390	31
104	8
731	98
98	7
552	10
284	4
128	3
785	96
719	27
506	7
182	5
764	88
814	100
700	28
534	11
198	7
806	101
826	107
810	61
385	14
134	10
831	110
751	61
663	22
221	10
137	12
832	112
750	61
551	18
228	17
830	114
832	111
762	41
552	22
221	16
832	119
369	46
765	46
221	24
138	21
832	119
814	72
664	31
389	22
138	21
832	121
814	73
389	25
58	4
808	115
798	77
763	49
552	31
227	27
729	124
721	104
425	5
127	3
733	91
778	109
112	7
492	7
342	6
93	3
811	129
642	18
370	9
121	6
774	97
806	67
619	21
383	13
56	3
807	128
821	118
545	16
226	14
820	117
822	120
763	45
546	18
227	16
824	123
744	47
536	21
387	20
139	17
825	142
811	78
388	24
137	15
829	144
357	31
660	33
92	6
134	21
824	129
761	53
546	26
227	25
827	148
824	132
722	45
547	30
714	175
637	87
628	40
549	15
285	4
38	1
767	167
743	77
603	17
92	3
796	180
731	66
631	20
350	8
117	6
808	174
803	153
738	50
535	14
811	176
808	155
703	48
539	16
220	13
814	188
143	13
724	53
648	28
384	17
138	14
789	91
648	31
385	20
137	14
814	195
353	29
649	35
92	6
133	21
795	190
807	164
539	25
226	23
795	137
809	166
690	48
540	27
162	10
812	189
809	169
648	39
384	28
138	26
694	206
666	102
530	20
272	4
38	1
754	222
722	104
328	6
92	3
766	231
778	205
706	67
505	10
207	8
773	152
795	209
723	71
224	12
802	231
800	211
665	52
516	16
376	15
143	12
799	219
770	115
377	17
144	14
803	236
772	118
608	33
378	20
58	4
787	245
799	219
526	24
228	22
806	250
799	219
728	81
513	19
229	22
347	40
801	220
134	8
377	23
143	20
806	253
770	123
636	42
377	23
144	23
706	34
724	41
713	27
571	5
286	1
37	0
755	40
765	28
623	7
316	1
89	2
331	27
794	31
652	11
337	3
115	6
817	49
817	49
762	27
542	9
217	12
797	49
820	52
766	30
501	9
221	15
345	29
821	55
767	33
491	10
215	18
134	14
821	59
813	50
666	20
386	24
131	14
821	64
813	55
598	16
386	29
99	5
821	64
813	55
583	15
378	29
220	24
821	65
824	71
764	40
549	31
215	17
824	75
741	49
767	50
502	13
222	35
628	32
708	36
715	29
573	7
288	3
38	1
757	42
767	30
541	6
341	4
63	1
807	47
125	6
639	10
364	9
206	7
821	54
819	51
764	29
533	10
219	14
742	47
825	57
685	22
550	17
204	11
804	52
823	56
815	45
668	19
388	19
132	12
823	59
716	34
669	23
209	8
135	17
826	69
794	49
656	32
549	24
224	29
821	62
826	69
743	33
551	29
211	15
826	71
743	51
769	46
100	4
217	31
135	23
823	68
810	52
669	32
388	35
135	26
732	45
719	30
577	8
268	3
38	1
687	35
757	31
726	21
509	5
180	5
814	51
792	48
755	24
538	9
209	8
826	56
746	48
768	30
495	10
215	14
132	10
830	58
815	41
675	21
379	13
135	12
734	49
817	43
676	23
389	16
137	16
728	46
801	48
771	35
555	22
225	19
831	69
807	61
773	43
496	16
225	24
354	35
829	66
773	43
498	16
219	27
136	22
831	71
816	51
676	34
380	20
137	27
734	52
817	55
282	12
389	28
137	31
710	48
729	55
670	20
451	3
127	3
783	57
769	56
724	22
466	4
180	5
345	39
812	61
123	6
523	8
371	8
120	6
824	66
811	45
665	19
376	11
126	8
826	66
347	26
668	19
89	4
132	12
807	63
827	68
770	35
549	16
226	18
812	70
829	74
696	29
550	22
155	9
829	79
142	13
751	40
539	27
387	24
137	25
827	76
817	60
658	25
388	27
136	22
829	81
815	58
116	7
379	25
133	27
827	80
829	85
768	44
550	33
220	21
729	65
665	62
666	20
179	3
129	3
123	13
762	61
769	44
623	11
345	6
94	4
812	72
791	46
652	15
352	7
123	8
358	41
811	53
117	7
379	13
224	13
826	77
828	79
763	32
552	17
222	14
829	81
762	73
766	36
512	14
229	19
740	68
807	77
814	58
669	27
390	20
136	17
827	86
733	50
668	29
391	26
139	22
829	88
